date,temp,usage
2022-11-29,5.05,20.9
2022-11-30,5.98,23.8
2022-12-01,3.76,24.4
2022-12-02,3.74,23.7
2022-12-03,4.8,29.4
2022-12-04,3.62,29.3
2022-12-05,5.36,25.9
2022-12-06,3.9,27.1
2022-12-07,0.5277083333,37.2
2022-12-08,-1.4,41.3
2022-12-09,-0.24625,46.5
2022-12-10,-1.43,46.0
2022-12-11,-1.29,48.9
2022-12-12,-0.57,50.2
2022-12-13,-3.18,52.0
2022-12-14,-2.76,52.0
2022-12-15,-3.25,48.706726728746
2022-12-16,-3.1,55.53
2022-12-17,-0.58,40.77
2022-12-18,1.585,42.4876122
2022-12-19,12.39,12.400544592732
2022-12-20,8.48,8.500991696642
2022-12-21,6.582083333,15.6277607826
2022-12-22,7.115208333,11.32480586
2022-12-23,8.154375,13.577133828621
2022-12-24,7.913125,11.9299089
2022-12-25,9.365208333,12.5013951
2022-12-26,5.03625,20.47
2022-12-27,5.9275,15.82946179
2022-12-28,9.797708333,12.972030793021
2022-12-29,7.023958333,13.40904965
2022-12-30,8.822291667,14.58563889
2022-12-31,11.465,12.837563451777
2023-01-01,8.999166667,12.837563451777
2023-01-02,4.561875,26.68769959996
2023-01-03,7.813541667,22.82176353918
2023-01-04,11.45791667,22.149426832958
2023-01-05,10.41270833,16.8379668538
2023-01-06,8.80375,20.468585067402
2023-01-07,9.889583333,16.468181665378
2023-01-08,6.239375,27.360036306182
2023-01-09,5.419791667,22.317511009514
2023-01-10,8.379166667,27.797055165227
2023-01-11,7.742708333,22.855380374492
2023-01-12,10.048125,17.006051030356
2023-01-13,7.3328,23.090698221669
2023-01-14,7.947708333,24.132820116314
2023-01-15,4.308333333,28.671092883316
2023-01-16,1.21875,38.756143476653
2023-01-17,-1.671875,40.403368406898
2023-01-18,0.7227083333,37.075301711097
2023-01-19,0.2629166667,43.630584596766
2023-01-20,2.261875,35.797861969274
2023-01-21,-0.4639583333,35.797861969274
2023-01-22,-0.6041666667,39.831882206609
2023-01-23,-0.521875,42.891014219921
2023-01-24,0.1277083333,37.680404746697
2023-01-25,1.9575,30.28470097825
2023-01-26,4.303061224,24.435371634114
2023-01-27,4.047916667,32.268094261606
2023-01-28,3.908958333,31.125121861028
2023-01-29,5.759166667,27.965139341782
2023-01-30,5.975416667,25.242175681581
2023-01-31,6.714791667,19.52731367869
2023-02-01,6.850408163,23.057081386358
2023-02-02,8.737291667,17.241368877534
2023-02-03,9.378958333,20.804753420513
2023-02-04,7.847291667,20.334117726157
2023-02-05,3.944583333,23.964735939759
2023-02-06,2.011875,39.529330688809
2023-02-07,1.93625,35.831478804585
2023-02-08,1.978333333,30.520018825428
2023-02-09,3.649791667,30.52055872
2023-02-10,3.724583333,28.6716017
2023-02-11,8.295208333,21.410243221892
2023-02-12,7.24375,30.18438471753
2023-02-13,6.785833333,18.989790395509
2023-02-14,4.732708333,29.780975913133
2023-02-15,7.713125,29.915445514598
2023-02-16,9.0525,18.115737985982
2023-02-17,11.69541667,14.653145748239
2023-02-18,11.15166667,18.014885784882
2023-02-19,8.932083333,20.973217017128
2023-02-20,9.277916667,13.510154135781
2023-02-21,7.742708333,24.234104852672
2023-02-22,6.558333333333,26.654557679055
2023-02-23,5.079791666667,22.048973828854
2023-02-24,4.837708333333,26.553705477955
2023-02-25,3.970208333333,27.293288286017
2023-02-26,3.490625,30.823115324492
2023-02-27,3.793125,26.822644680887
2023-02-28,4.909791666667,24.503044055603
