date,usage
2023-01-03,22.8
2023-01-04,22.1
2023-01-05,16.8
2023-01-06,20.5
2023-01-07,16.5
2023-01-08,27.4
2023-01-09,22.3
2023-01-10,27.8
2023-01-11,22.9
2023-01-12,17.0
2023-01-13,23.1
2023-01-14,24.1
2023-01-15,28.7
2023-01-16,38.8
2023-01-17,40.4
2023-01-18,37.1
2023-01-19,43.6
2023-01-20,35.8
2023-01-21,35.8
2023-01-22,39.8
2023-01-23,42.9
2023-01-24,37.7
2023-01-25,30.3
2023-01-26,24.4
2023-01-27,32.3
2023-01-28,31.1
2023-01-29,28.0
2023-01-30,25.2
2023-01-31,19.5
2023-02-01,23.1
2023-02-02,17.2
2023-02-03,20.8
2023-02-04,20.3
2023-02-05,24.0
2023-02-06,39.5
2023-02-07,35.8
2023-02-08,30.5
2023-02-09,30.5
2023-02-10,28.7
2023-02-11,21.4
2023-02-12,30.2
2023-02-13,19.0
2023-02-14,29.8
2023-02-15,29.9
2023-02-16,18.1
2023-02-17,14.7
2023-02-18,18.0
2023-02-19,21.0
2023-02-20,13.5
2023-02-21,24.2
2023-02-22,26.7
2023-02-23,22.0
2023-02-24,26.6
2023-02-25,27.3
2023-02-26,30.8
2023-02-27,26.8
2023-02-28,24.5
2023-03-01,22.7
2023-03-02,27.6
2023-03-03,26.4
2023-03-04,21.2
2023-03-05,26.8
2023-03-06,24.9
2023-03-07,25.0
2023-03-08,42.0
2023-03-09,36.8
2023-03-10,27.5
2023-03-11,31.4
2023-03-12,21.5
2023-03-13,16.9
2023-03-14,24.5
2023-03-15,33.7
2023-03-16,14.2
2023-03-17,19.1
2023-03-18,13.9
2023-03-19,17.0
2023-03-20,16.7
2023-03-21,13.8
2023-03-22,20.2
2023-03-23,14.2
2023-03-24,17.8
2023-03-25,14.1
2023-03-26,19.7
2023-03-27,22.5
2023-03-28,21.8
2023-03-29,17.7
2023-03-30,14.2
2023-03-31,16.7
2023-04-01,16.7
2023-04-02,22.4
2023-04-03,25.9
2023-04-04,22.8
2023-04-05,18.6
2023-04-06,17.7
2023-04-07,17.7
2023-04-08,17.7
2023-04-09,17.7
2023-04-10,11.2
2023-04-11,18.0
2023-04-12,14.9
2023-04-13,12.7
2023-04-14,19.1
2023-04-15,14.9
2023-04-16,12.4
2023-04-17,11.2
2023-04-18,11.6
2023-04-19,19.2
2023-04-20,16.6
2023-04-21,13.1
2023-04-22,16.7
2023-04-23,17.5
2023-04-24,21.7
2023-04-25,20.7
2023-04-26,18.9
2023-04-27,15.3
2023-04-28,17.6
2023-04-29,9.2
2023-04-30,10.0
2023-05-01,15.9
2023-05-02,13.5
2023-05-03,12.2
2023-05-04,13.5
2023-05-05,11.8
2023-05-06,15.3
2023-05-07,14.6
2023-05-08,11.3
2023-05-09,13.7
2023-05-10,12.4
2023-05-11,12.4
2023-05-12,18.0
2023-05-13,16.5
2023-05-14,15.1
2023-05-15,11.8
2023-05-16,14.5
2023-05-17,6.2
2023-05-18,8.6
2023-05-19,9.8
2023-05-20,15.2
2023-05-21,22.8
2023-05-22,11.9
2023-05-23,10.9
2023-05-24,9.3
2023-05-25,12.9
2023-05-26,10.6
2023-05-27,6.7
2023-05-28,4.0
2023-05-29,3.9
2023-05-30,4.4
2023-05-31,4.8
2023-06-01,12.5
2023-06-02,13.8
2023-06-03,6.1
2023-06-04,3.8
2023-06-05,10.9
2023-06-06,10.1
2023-06-07,13.5
2023-06-08,9.4
2023-06-09,7.7
2023-06-10,9.3
2023-06-11,9.4
2023-06-12,12.1
2023-06-13,10.6
2023-06-14,12.2
2023-06-15,9.1
2023-06-16,7.9
2023-06-17,7.5
2023-06-18,10.5
2023-06-19,9.0
2023-06-20,10.1
2023-06-21,8.7
2023-06-22,8.8
2023-06-23,12.1
2023-06-24,14.5
2023-06-25,11.7
2023-06-26,10.8
2023-06-27,13.2
2023-06-28,7.8
2023-06-29,9.8
2023-06-30,7.7
2023-07-01,7.7
2023-07-02,11.1
2023-07-03,13.2
2023-07-04,7.6
2023-07-05,8.6
2023-07-06,7.4
2023-07-07,7.1
2023-07-08,13.7
2023-07-09,14.1
2023-07-10,9.2
2023-07-11,9.0
2023-07-12,13.6
2023-07-13,8.1
2023-07-14,15.7
2023-07-15,11.3
2023-07-16,12.8
2023-07-17,11.7
2023-07-18,11.7
2023-07-19,9.5
2023-07-20,10.4
2023-07-21,13.0
2023-07-22,15.5
2023-07-23,8.2
2023-07-24,8.7
2023-07-25,10.1
2023-07-26,10.1
2023-07-27,10.3
2023-07-28,8.7
2023-07-29,4.8
2023-07-30,13.2
2023-07-31,12.1
2023-08-01,6.5
2023-08-02,8.1
2023-08-03,9.4
2023-08-04,12.9
2023-08-05,13.3
2023-08-06,15.6
2023-08-07,8.2
2023-08-08,16.3
2023-08-09,9.7
2023-08-10,4.2
2023-08-11,3.8
2023-08-12,3.7
2023-08-13,4.1
2023-08-14,3.9
2023-08-15,4.0
2023-08-16,4.1
2023-08-17,8.5
2023-08-18,9.9
2023-08-19,8.9
2023-08-20,7.9
2023-08-21,8.0
2023-08-22,7.9
2023-08-23,9.1
2023-08-24,10.5
2023-08-25,8.4
2023-08-26,6.5
2023-08-27,3.8
2023-08-28,4.1
2023-08-29,3.8
2023-08-30,4.3
2023-08-31,3.5
2023-09-01,4.1
2023-09-02,3.8
2023-09-03,3.9
2023-09-04,6.1
2023-09-05,10.5
2023-09-06,8.4
2023-09-07,10.9
2023-09-08,11.8
2023-09-09,10.5
2023-09-10,9.9
2023-09-11,12.9
2023-09-12,9.4
2023-09-13,8.6
2023-09-14,6.7
2023-09-15,8.5
2023-09-16,12.0
2023-09-17,11.2
2023-09-18,11.2
2023-09-19,11.2
2023-09-20,11.2
2023-09-21,11.2
2023-09-22,11.2
2023-09-23,11.2
2023-09-24,11.2
2023-09-25,11.2
2023-09-26,11.2
2023-09-27,11.2
2023-09-28,11.2
2023-09-29,11.2
2023-09-30,11.2
2023-10-01,11.2
2023-10-02,11.2
2023-10-03,11.2
2023-10-04,11.2
2023-10-05,11.866
2023-10-06,11.925
2023-10-07,12.675
2023-10-08,12.399
2023-10-09,10.348
2023-10-10,7.897
2023-10-11,9.312
2023-10-12,15.571
2023-10-13,9.78
2023-10-14,19.513
2023-10-15,21.567
2023-10-16,18.154
2023-10-17,12.224
2023-10-18,12.551
2023-10-19,14.323
2023-10-20,7.315
2023-10-21,16.516
2023-10-22,8.565
2023-10-23,5.613
2023-10-24,5.407
2023-10-25,7.859
2023-10-26,11.116
2023-10-27,15.19
2023-10-28,22.763
2023-10-29,19.177
2023-10-30,13.111
2023-10-31,16.001
2023-11-01,13.08378
2023-11-02,18.55268815
2023-11-03,20.21866015
2023-11-04,19.50667212
2023-11-05,18.47068953
2023-11-06,22.67961879
2023-11-07,23.5056049
2023-11-08,17.21471064
2023-11-09,20.37265756
2023-11-10,23.69060179
2023-11-11,20.54665464
2023-11-12,28.88851442
2023-11-13,18.10669565
2023-11-14,14.99074803
2023-11-15,18.75168481
2023-11-16,22.35362426
2023-11-17,20.0196635
2023-11-18,11.6548041
2023-11-19,17.00571416
2023-11-20,17.44470678
2023-11-21,17.04571348
2023-11-22,19.6302521
2023-11-23,13.24369748
2023-11-24,19.15966387
2023-11-25,33.41176471
2023-11-26,33.41176471
2023-11-27,24.70588235
2023-11-28,31.19327731
2023-11-29,38.45378151
2023-11-30,44.0
2023-12-01,38.55462185
2023-12-02,41.54621849
2023-12-03,26.25210084
2023-12-04,28.94117647
2023-12-05,21.24369748
2023-12-06,34.99159664
2023-12-07,22.85714286
2023-12-08,19.86554622
2023-12-09,23.32773109
2023-12-10,28.67226891
2023-12-11,20.67226891
2023-12-12,18.42016807
2023-12-13,24.53781513
2023-12-14,23.93277311
2023-12-15,19.6302521
2023-12-16,18.05042017
2023-12-17,13.41176471
2023-12-18,18.45378151
2023-12-19,19.76470588
2023-12-20,21.71428571
2023-12-21,17.91596639
2023-12-22,22.65546218
2023-12-23,9.075630252
2023-12-24,5.579831933
2023-12-25,9.680672269
2023-12-26,11.56302521
2023-12-27,13.17647059
2023-12-28,8.806722689
2023-12-29,14.08403361
2023-12-30,12.63865546
2023-12-31,13.74789916
